iteration,train_step,train_episode_return,train_num_episodes,train_step_rate,train_duration,eval_episode_return,eval_num_episodes,eval_step_rate,eval_duration
0,100000,-20.29811320754717,265,440.58968904905515,567.421358724001,-20.721739130434784,115,1190.0236988683332,84.03193994799949
1,100000,-19.023923444976077,209,268.8951271906998,929.7304960930014,-14.895833333333334,48,1122.0835214096946,89.11992564899992
2,100000,-17.026143790849673,153,231.6129773466,1079.3868412039992,-13.023809523809524,42,1125.142582129794,88.87762456799828
3,100000,-13.451327433628318,113,197.2038077621946,1267.7240000429993,-6.352941176470588,34,1274.459201403998,78.46465378400171
4,100000,-7.426829268292683,82,183.92364790829856,1359.259686522997,-0.6785714285714286,28,1289.0650044715117,77.57560685700082
5,100000,-5.135135135135135,74,181.10410635845724,1380.4214880979998,-7.0625,32,1248.378690973606,80.10389853900051
6,100000,-2.1710526315789473,76,229.9497161461916,1087.1942100640008,8.382352941176471,34,1434.766830123162,69.69773617600003
7,100000,3.0126582278481013,79,229.34122898997447,1090.0787490370021,8.794117647058824,34,1428.4741134458516,70.00476876600442
8,100000,7.036144578313253,83,235.12215889236467,1063.2770691530022,9.833333333333334,36,1445.4816297503303,69.1810936519978
9,100000,9.363636363636363,88,232.42290581021103,1075.625481612995,12.54054054054054,37,1476.188982063073,67.74200404899602
