iteration,type,step,episode_return,num_episodes,step_rate,duration
0,PPO-RND-actor0,250000,0.0,363,40.10077376343568,6234.293669115001
0,PPO-RND-actor1,250000,0.2604166666666667,384,39.97605988967947,6253.742882363
0,PPO-RND-actor2,250000,0.0,364,39.920651102024294,6262.422908912
0,PPO-RND-actor3,250000,0.0,392,39.87488723392417,6269.61020688
0,PPO-RND-actor4,250000,0.0,402,39.87641710888787,6269.3696707340005
0,PPO-RND-actor5,250000,0.0,407,39.83500873574856,6275.886661866
0,PPO-RND-actor6,250000,0.0,379,39.78679800082163,6283.4913227960005
0,PPO-RND-actor8,250000,0.0,418,39.791459096483635,6282.755286601
0,PPO-RND-actor7,250000,0.0,382,39.76486058806976,6286.957788932999
0,PPO-RND-actor9,250000,0.0,417,39.76379227374892,6287.126697547001
0,PPO-RND-actor10,250000,0.0,375,39.742506796156434,6290.493986257
0,PPO-RND-actor12,250000,0.2518891687657431,397,39.73313255605236,6291.978102841999
0,PPO-RND-actor13,250000,0.0,412,39.73924296930664,6291.010631307
0,PPO-RND-actor11,250000,0.0,389,39.724377885049,6293.364762650999
0,PPO-RND-actor16,250000,0.0,348,39.74437704651411,6290.197974607
0,PPO-RND-actor14,250000,0.0,375,39.72844239790694,6292.720904989999
0,PPO-RND-actor15,250000,0.0,380,39.72764700239217,6292.846892869
0,PPO-RND-actor17,250000,0.0,386,39.72994007221621,6292.4836922879995
0,PPO-RND-actor18,250000,0.0,393,39.73017361572876,6292.446703556
0,PPO-RND-actor19,250000,0.0,383,39.734026227225094,6291.8365878740005
0,PPO-RND-actor22,250000,0.0,374,39.74721922873651,6289.748184931
0,PPO-RND-actor20,250000,0.0,386,39.73456133673493,6291.751855050001
0,PPO-RND-actor24,250000,0.0,391,39.75370395783253,6288.722184609
0,PPO-RND-actor21,250000,0.28169014084507044,355,39.733151591348296,6291.975088491
0,PPO-RND-actor23,250000,0.0,346,39.744098190326845,6290.242108471
0,PPO-RND-actor25,250000,0.0,402,39.755549202822394,6288.430294965
0,PPO-RND-actor26,250000,0.0,359,39.757490799593235,6288.123193191
0,PPO-RND-actor27,250000,0.26595744680851063,376,39.76254646740721,6287.323680462
0,PPO-RND-actor30,250000,0.0,436,39.7802013734303,6284.53329467
0,PPO-RND-actor29,250000,0.0,371,39.772854846859225,6285.694123859001
0,PPO-RND-actor28,250000,0.0,365,39.76659110212953,6286.684200764
0,PPO-RND-actor31,250000,0.0,386,39.783422743508225,6284.024419211
